# Generated with generate_timeseries.py on 2020-11-10
# Subset of measurements of the velocity of a turbulent jet made in a wind tunnel at ENS de Lyon, by Christophe Baudet and Antoine Naert.
# Measurement frequency is 23000.0Hz.
#
0.00808695652173913,3.8562899
0.008130434782608695,3.8451967
0.00817391304347826,3.836156
0.008217391304347826,3.8270059
0.00826086956521739,3.820579
0.008304347826086956,3.8125694
0.008347826086956521,3.8090284
0.008391304347826086,3.8022306
0.008434782608695653,3.7999682
0.008478260869565218,3.7958481
0.008521739130434783,3.7932913
0.008565217391304348,3.7941937
0.008608695652173913,3.791347
0.008652173913043478,3.7890422
0.008695652173913044,3.78822
0.008739130434782609,3.7902086
0.008782608695652174,3.7905579
0.008826086956521739,3.7923236
0.008869565217391304,3.7982335
0.008913043478260869,3.7953782
0.008956521739130434,3.7984705
0.009,3.7957754
0.009043478260869564,3.793182
0.009086956521739131,3.7879636
0.009130434782608696,3.7847643
0.009173913043478261,3.7811198
0.009217391304347827,3.778263
0.009260869565217392,3.7773075
0.009304347826086957,3.7732358
0.009347826086956522,3.7714033
0.009391304347826087,3.7696874
0.009434782608695652,3.7671726
0.009478260869565217,3.7677846
0.009521739130434782,3.7697346
0.009565217391304347,3.7732253
0.009608695652173913,3.774686
0.009652173913043478,3.7762737
0.009695652173913043,3.7730863
0.009739130434782608,3.7722077
0.009782608695652175,3.7645917
0.00982608695652174,3.7547028
0.009869565217391305,3.7468176
0.00991304347826087,3.7322156
0.009956521739130435,3.7189488
0.01,3.6995664
0.010043478260869565,3.6823888
0.01008695652173913,3.6622562
0.010130434782608696,3.6430438
0.01017391304347826,3.6224768
0.010217391304347826,3.6074977
0.01026086956521739,3.5861905
0.010304347826086956,3.5711513
0.010347826086956521,3.5554392
0.010391304347826086,3.5387304
0.010434782608695653,3.5255556
0.010478260869565218,3.5103989
0.010521739130434783,3.498569
0.010565217391304348,3.4843214
0.010608695652173913,3.4721587
0.010652173913043479,3.4580388
0.010695652173913044,3.4452314
0.010739130434782609,3.4305084
0.010782608695652174,3.417008
0.010826086956521739,3.403589
0.010869565217391304,3.3874454
0.01091304347826087,3.374434
0.010956521739130434,3.3612194
0.011,3.3493738
0.011043478260869564,3.3354893
0.01108695652173913,3.32254
0.011130434782608696,3.314414
0.011173913043478262,3.2998137
0.011217391304347827,3.2921915
0.011260869565217392,3.2818847
0.011304347826086957,3.2722852
0.011347826086956522,3.2627575
0.011391304347826087,3.2539244
0.011434782608695652,3.244716
0.011478260869565217,3.2376332
0.011521739130434782,3.2315922
0.011565217391304347,3.2270136
0.011608695652173913,3.222827
0.011652173913043478,3.2231185
0.011695652173913043,3.2184644
0.011739130434782608,3.223133
0.011782608695652175,3.222101
